date       dec1    dec2     dec9    dec10
19720731 0.009158 -0.020557 -0.051803 -0.036376
19720831 0.037061 0.050653 -0.004622 -0.001045
19720929 0.001613 -0.019101 -0.042264 -0.043812
19721031 0.014394 0.011725 -0.023347 -0.033214
19721130 0.040127 0.065779 0.052936 0.042128
19721229 0.022182 -0.004857 -0.020323 -0.03189
19730131 -0.004979 -0.072329 -0.05205 -0.033162
19730228 -0.031568 -0.048032 -0.085564 -0.084468
19730330 0.002759 -0.016991 -0.028426 -0.030544
19730430 -0.038118 -0.056069 -0.081071 -0.085084
19730531 -0.006239 -0.019389 -0.096901 -0.104067
19730629 0.001023 -0.027391 -0.043801 -0.044644
19730731 0.03358 0.075324 0.145697 0.150538
19730831 -0.034154 -0.012549 -0.055687 -0.073051
19730928 0.028717 0.090222 0.105907 0.076823
19731031 0.004062 -0.02148 -0.008499 0.001446
19731130 -0.098924 -0.13566 -0.206715 -0.199853
19731231 0.015834 0.010668 -0.029664 -0.062624
19740131 -0.021841 0.025216 0.178253 0.202554
19740228 -0.001581 0.012267 -0.00598 -0.008725
19740329 -0.022258 -0.031543 -0.001827 0.011522
19740430 -0.034169 -0.064395 -0.059521 -0.062462
19740531 -0.018382 -0.068651 -0.079307 -0.079801
19740628 -0.013298 -0.030279 -0.029587 -0.026679
19740731 -0.086102 -0.050734 -0.048179 -0.054411
19740830 -0.082207 -0.102441 -0.087674 -0.0824
19740930 -0.124626 -0.076541 -0.082329 -0.078183
19741031 0.173961 0.176748 0.092736 0.077082
19741129 -0.047427 -0.019068 -0.053914 -0.072223
19741231 -0.018764 -0.019956 -0.089879 -0.099849
19750131 0.102644 0.174092 0.335371 0.402605
19750228 0.068822 0.045027 0.039284 0.025067
19750331 0.01678 0.034792 0.099781 0.126137
19750430 0.049074 0.03937 0.045726 0.014451
19750530 0.054235 0.049397 0.073342 0.073454
19750630 0.040561 0.080278 0.075801 0.101392
19750731 -0.068987 -0.059034 -0.033234 0.008975
19750829 -0.015699 -0.019284 -0.065993 -0.071067
19750930 -0.035695 -0.032386 -0.034944 -0.035721
19751031 0.065669 0.059346 0.02183 -0.004053
19751128 0.029495 0.02965 0.027153 0.02453
19751231 -0.015052 0.000157 -0.012313 -0.018419
19760130 0.110547 0.129526 0.22557 0.273677
19760227 -0.017872 0.018792 0.110527 0.163815
19760331 0.039322 0.005838 0.007587 0.00289
19760430 -0.010542 -0.010469 -0.022683 -0.027655
19760528 -0.007063 -0.004697 -0.025822 -0.035147
19760630 0.041786 0.055836 0.029171 0.024088
19760730 -0.008924 -0.009154 0.002512 -0.005917
19760831 0.003661 0.000953 -0.017056 -0.027198
19760930 0.026106 0.02376 0.019653 0.018059
19761029 -0.01976 -0.027805 -0.030639 -0.022953
19761130 -0.007277 0.024965 0.042815 0.016488
19761231 0.047675 0.071218 0.106467 0.111061
19770131 -0.049291 -0.039702 0.035524 0.053905
19770228 -0.014298 -0.025348 -0.014093 -0.007405
19770331 -0.018091 -0.002212 0.007848 0.006871
19770429 -0.003659 0.017994 0.008339 0.01409
19770531 -0.015803 -0.006419 -0.009083 -0.00149
19770630 0.047698 0.050767 0.074592 0.074829
19770729 -0.013255 -0.021676 -0.003122 0.005767
19770831 -0.011677 -0.022938 -0.016348 -0.02019
19770930 -0.001951 -0.000995 0.014111 0.017767
19771031 -0.043407 -0.036093 -0.021759 -0.031608
19771130 0.031112 0.047278 0.103846 0.089596
19771230 0.004479 0.006829 0.013388 0.014722
19780131 -0.062186 -0.057471 -0.020631 0.00478
19780228 -0.016074 -0.01782 0.027277 0.032579
19780331 0.019256 0.039867 0.078042 0.092997
19780428 0.090255 0.075704 0.087632 0.08516
19780531 0.006843 0.02675 0.068662 0.081704
19780630 -0.018249 -0.015104 0.00163 0.001854
19780731 0.055644 0.049352 0.05679 0.052701
19780831 0.02979 0.035443 0.072012 0.121905
19780929 -0.005209 -0.006671 -0.011056 -0.002263
19781031 -0.076646 -0.125223 -0.241447 -0.239397
19781130 0.030149 0.034387 0.069869 0.073003
19781229 0.020203 0.000248 0.010811 -0.00079
19790131 0.035101 0.052476 0.114372 0.12059
19790228 -0.027509 -0.031935 -0.025555 -0.02517
19790330 0.0493 0.073203 0.105335 0.094505
19790430 0.003393 -0.00127 0.018507 0.02909
19790531 -0.018502 -0.003652 -0.005546 -0.007959
19790629 0.03538 0.062144 0.054039 0.04903
19790731 0.004935 0.027496 0.021246 0.019436
19790831 0.056733 0.060304 0.08945 0.08157
19790928 0.002751 0.000984 -0.01117 -0.014482
19791031 -0.055801 -0.079816 -0.119663 -0.108689
19791130 0.051129 0.066653 0.094154 0.063935
19791231 0.01199 0.04052 0.074767 0.073014
19800131 0.061682 0.066161 0.10014 0.114047
19800229 0.016553 -0.025146 -0.027364 -0.027541
19800331 -0.096744 -0.116833 -0.18918 -0.192455
19800430 0.042414 0.057822 0.065893 0.056609
19800530 0.047808 0.069866 0.06655 0.071021
19800630 0.02848 0.04234 0.039126 0.040632
19800731 0.054632 0.080625 0.137272 0.108809
19800829 0.013449 0.025002 0.072781 0.082943
19800930 0.024628 0.035898 0.027316 0.028708
19801031 0.020754 0.014414 0.04132 0.032605
19801128 0.129188 0.085953 0.069025 0.027352
19801231 -0.039689 -0.017899 -0.033371 -0.031815
19810130 -0.057169 -0.033817 0.01674 0.034188
19810227 0.01774 0.008944 0.014133 0.00991
19810331 0.019261 0.077539 0.095843 0.093096
19810430 -0.029966 -0.008781 0.032499 0.038398
19810529 -0.001835 0.022585 0.028022 0.034391
19810630 -0.000546 -0.014301 -0.009901 0.009558
19810731 0.008963 -0.010012 -0.037194 -0.025912
19810831 -0.052426 -0.058096 -0.080668 -0.080764
19810930 -0.051993 -0.051525 -0.078797 -0.086296
19811030 0.0505 0.072269 0.090751 0.081734
19811130 0.051194 0.033292 0.025897 0.020277
19811231 -0.032349 -0.02186 -0.003065 -0.028879
19820129 -0.01427 -0.03119 -0.021786 -0.006772
19820226 -0.054569 -0.050299 -0.044828 -0.041014
19820331 -0.008096 -0.009509 -0.001101 -0.006003
19820430 0.036001 0.051338 0.040044 0.038886
19820528 -0.021587 -0.038903 -0.027917 -0.019453
19820630 -0.015556 -0.02943 -0.029271 -0.031733
19820730 -0.018898 -0.035237 -0.023055 -0.01294
19820831 0.12792 0.123537 0.083156 0.064037
19820930 0.008445 0.014075 0.029422 0.027618
19821029 0.104797 0.12518 0.147729 0.151446
19821130 0.039396 0.047456 0.073883 0.099093
19821231 0.01213 0.014769 0.02517 0.007787
19830131 0.039064 0.028275 0.076123 0.107242
19830228 0.025498 0.028056 0.050677 0.051508
19830331 0.031406 0.027774 0.041157 0.058068
19830429 0.078297 0.061569 0.081621 0.071337
19830531 -0.020074 0.022277 0.082803 0.123791
19830630 0.038691 0.025471 0.027798 0.039943
19830729 -0.03524 -0.035805 -0.017412 -0.019394
19830831 0.020524 -0.001011 -0.024283 -0.03861
19830930 0.011382 0.020706 0.00232 -0.004633
19831031 -0.009432 -0.02314 -0.063904 -0.070552
19831130 0.017569 0.019818 0.05045 0.047765
19831230 -0.004081 -0.013227 -0.019377 -0.028683
19840131 0.004074 -0.014173 -0.006453 0.017792
19840229 -0.029145 -0.046821 -0.062253 -0.071658
19840330 0.011127 0.027848 0.005315 -0.001133
19840430 0.015204 -0.006221 -0.0175 -0.026666
19840531 -0.04987 -0.052277 -0.057042 -0.060429
19840629 0.020115 0.032594 0.030853 0.012883
19840731 -0.006202 -0.016055 -0.053549 -0.064245
19840831 0.105876 0.111895 0.120268 0.09716
19840928 -0.000292 0.004317 -0.011646 -0.0112
19841031 0.004338 0.011037 -0.021122 -0.035719
19841130 -0.011351 -0.000779 -0.024946 -0.054643
19841231 0.024541 0.032975 0.017579 -0.005108
19850131 0.072697 0.071289 0.148899 0.159419
19850228 0.014848 0.027263 0.023666 0.035784
19850329 -0.003125 0.021047 -0.030419 -0.024184
19850430 -0.001253 -0.000191 -0.015519 -0.019622
19850531 0.060591 0.074883 0.031929 0.01897
19850628 0.015477 0.023886 0.015495 0.005653
19850731 -0.006686 -0.013512 0.026792 0.028384
19850830 -0.004333 -0.005601 -0.006616 -0.006203
19850930 -0.027689 -0.043245 -0.051911 -0.0578
19851031 0.042414 0.067547 0.032841 0.017304
19851129 0.070169 0.0707 0.065499 0.053133
19851231 0.049037 0.038126 0.044501 0.035963
19860131 0.000317 0.026745 0.026765 0.04175
19860228 0.073298 0.08825 0.066307 0.060271
19860331 0.056559 0.053018 0.04823 0.039268
19860430 -0.012753 -0.018426 0.019451 0.011076
19860530 0.053433 0.057979 0.032916 0.0288
19860630 0.022077 0.009967 0.010967 0.002731
19860731 -0.05001 -0.05444 -0.082761 -0.085838
19860829 0.07358 0.069058 0.017323 0.006343
19860930 -0.089844 -0.084136 -0.068655 -0.060414
19861031 0.05298 0.060288 0.030393 0.020801
19861128 0.02527 0.011929 -0.003783 -0.010562
