date      bndPeresi     pg        sp
19661031 0.07252425 0.04920436 0.04644838
19661130 -0.009239947 -0.02020271 0.003112152
19661230 0.1122882 -0.006826246 -0.001493114
19670131 0.02061767 0.0764535 0.07527258
19670228 -0.1790821 -0.009631232 0.001961076
19670331 0.1964901 0.08202597 0.03865324
19670428 -0.1149352 0.01533482 0.04137128
19670531 0.006496713 0.01025622 -0.05386607
19670630 -0.2749955 0.008707975 0.01736043
19670731 0.05093303 0.1189388 0.04434602
19670831 -0.09601778 -0.02614482 -0.01178416
19670929 -0.03530578 -0.006645029 0.03225904
19671031 0.02306465 -0.0514333 -0.02948648
19671130 -0.1064654 -0.01136332 0.001064433
19671229 0.1092813 0.05286376 0.02593769
19680131 0.1415011 -0.09845883 -0.04483838
19680229 -0.08256906 0.02381027 -0.03172083
19680329 0.04428422 0.02612671 0.009356095
19680430 -0.02506935 0.0808802 0.07874556
19680531 0.03940172 -0.01204019 0.01110709
19680628 0.1682528 0 0.009078664
19680731 0.1717595 -0.008380014 -0.01865085
19680830 -0.06978229 0.01222003 0.01139384
19680930 -0.00822898 -0.05834971 0.03781492
19681031 -0.09348572 0.0167401 0.007182147
19681129 -0.06304457 0.1073412 0.04684923
19681231 -0.1239948 -0.127371 -0.04250779
19690131 0.2941877 -0.004054207 -0.008217673
19690228 -0.0249401 -0.02967601 -0.0485329
19690328 0.05556275 0.03985801 0.03386408
19690430 0.01332483 0.02458627 0.02124864
19690529 -0.05348695 0.07003526 -0.002220463
19690630 -0.0355358 -0.05731454 -0.05718112
19690731 0.21493 0.01560757 -0.06206478
19690829 0.08895751 0.05684903 0.03929186
19690930 -0.04562275 0.02597569 -0.02534242
19691031 0.2443041 0.1276489 0.04329318
19691128 -0.2322167 -0.03935744 -0.03591116
19691231 0.1055986 0.03366492 -0.0188312
19700130 0.2045584 0.01944472 -0.07955416
19700227 0.4933863 -0.01589161 0.05135164
19700331 -0.1795118 -0.002290621 0.001451945
19700430 -0.1643396 -0.0829328 -0.09484159
19700529 0.01932316 -0.01644549 -0.06290466
19700630 0.006854192 -0.04167236 -0.05132803
19700731 0.2242922 0.1078045 0.07073336
19700831 -0.1110568 0.002401115 0.04349905
19700930 0.09270602 0.01428547 0.03246525
19701030 -0.2278544 0.0389476 -0.01146548
19701130 0.195144 0.08338205 0.04635577
19701231 -0.2522294 -0.02343036 0.0552133
19710129 -0.2331261 0.01454865 0.03967926
19710226 0.09245107 0 0.009033079
19710331 -0.2735725 0.0641375 0.03613519
19710430 -0.4213538 -0.02475284 0.0356451
19710528 -0.1831715 -0.01666713 -0.04244623
19710630 -0.05004645 0.08455712 0.000702753
19710730 -0.1335447 0.03415889 -0.04220211
19710831 0.4663752 0.07758585 0.03545884
19710930 0.002376349 -0.01398635 -0.00699239
19711029 0.05081982 0.005268099 -0.04269249
19711130 -0.09871029 0.008764479 -0.002550249
19711231 0.2381806 0.09165441 0.08266603
19720131 -0.008402869 0.02360422 0.01795877
19720229 0.06016545 0.07086565 0.02498818
19720330 -0.2070981 0.03152095 0.005894593
19720428 0.06100468 0.03601462 0.004374418
19720531 -0.01616443 0.07371782 0.01712748
19720630 -0.1340683 -0.05477197 -0.0220626
19720731 0.2142699 0.0382924 0.002330283
19720831 -0.337566 0.003878469 0.03387375
19720929 0.08357982 0.01154609 -0.004872853
19721031 0.03146185 0.07270012 0.009273864
19721130 0.1647419 0.02932771 0.04460714
19721229 -0.1859301 0.03073675 0.0117586
19730131 0.06523858 -0.02139321 -0.01725908
19730228 0.02728961 -0.01739136 -0.03821082
19730330 -0.1257421 -0.05653966 -0.001434028
19730430 0.3058521 -0.009799862 -0.04165568
19730531 0.02192218 -0.02156077 -0.01906458
19730629 0.02384326 0.06453883 -0.006596711
19730731 0.115283 0.08807223 0.03727844
19730831 0.2915158 -0.1384371 -0.03737482
19730928 0.5957823 0.005063161 0.03931302
19731031 -0.1171467 0.04517602 -0.001291834
19731130 -0.07353258 -0.08206508 -0.1208815
19731231 0.04787656 -0.03208837 0.01643323
19740131 0.05477296 -0.02253502 -0.0100968
19740228 -0.1735762 -0.01548223 -0.003630583
19740329 -0.2458868 0.004245973 -0.02355526
19740430 0.1361369 0.06241784 -0.03983394
19740531 0.102586 0.04433549 -0.03412675
19740628 -0.01779186 0.01769944 -0.01477359
19740731 0.06351254 -0.04537505 -0.0809834
19740830 -0.2241354 -0.1367365 -0.09461732
19740930 0.6995894 -0.1253648 -0.127078
19741031 -0.3779242 0.1777453 0.1510433
19741129 0.09493452 -0.04720692 -0.05464628
19741231 0.1084759 -0.01522126 -0.0203568
19750131 0.08102906 0.1198263 0.1158363
19750228 -0.2314151 0.03230454 0.05816136
19750331 -0.1572728 0.01446488 0.02146203
19750430 -0.01099936 0 0.046182
19750530 -0.05325427 0.01820626 0.04315623
19750630 -0.3263849 0.01153126 0.04336883
19750731 0.02167697 -0.086433 -0.07005129
19750829 -0.05102167 -0.05748717 -0.02129514
19750930 -0.03636866 -0.01791044 -0.03525937
19751031 0.3345726 0.07260062 0.05981771
19751128 -0.1373075 0.04677576 0.02440769
19751231 0.170168 -0.04396338 -0.01157473
19760130 -0.05142794 0.03857243 0.111815
19760227 -0.1873773 -0.08060937 -0.0114675
19760331 0.06945761 0.06417033 0.03022751
19760430 -0.0264969 -0.0133487 -0.01105589
19760528 -0.1812367 -0.004233951 -0.01446816
19760630 0.1987035 0.07097091 0.0401107
19760730 0.07476409 0.01750096 -0.008087617
19760831 -0.001677602 -0.009156796 -0.005137173
19760930 -0.0783449 0.01564596 0.0223885
19761029 0.07622893 -0.01118735 -0.02248592
19761130 0.08129566 -0.01457977 -0.007805383
19761231 -0.1222228 0 0.05116639
19770131 -0.1133146 -0.07597864 -0.05185134
19770228 0.04709548 -0.04451736 -0.02189802
19770331 -0.06491718 -0.04183396 -0.01412428
19770429 -0.1019243 -0.0108173 0.0002029794
19770531 -0.06833471 -0.04452467 -0.02385017
19770630 0.08828441 0.07783473 0.04436132
19770729 -0.1619952 0.003426124 -0.01635502
19770831 0.1159667 0.07835359 -0.02126654
19770930 -0.01911982 -0.01312881 -0.00248308
19771031 0.08901129 -0.01897489 -0.04437622
19771130 0.1192103 0.02971995 0.02660882
19771230 0.0774416 0.005839914 0.002842955
19780131 0.1049808 -0.07682165 -0.06348734
19780228 0.01247213 -0.02731056 -0.02507374
19780331 0.1438436 -0.03480058 0.02462529
19780428 -0.03428474 0.139835 0.08196332
19780531 0.07894094 0.01322615 0.004225062
19780630 -0.02113587 0.004370436 -0.01774145
19780731 0.1857619 0.05788487 0.05250706
19780831 -0.04815376 -0.03662353 0.02559367
19780929 -0.06833282 -0.001436031 -0.007287489
19781031 0.09829388 -0.04405952 -0.09604185
19781130 -0.01786872 0.03863785 0.01650307
19781229 0.08962616 0.03579466 0.01477925
19790131 0.4052016 -0.04164316 0.03897645
19790228 -0.02204536 -0.03922119 -0.03720978
19790330 0.1255737 -0.003081744 0.05368483
19790430 0.04821717 -0.001853717 0.001671602
19790531 0.1418264 0.007782637 -0.026689
19790629 0.07816796 -0.04762844 0.03792757
19790731 -0.04251963 -0.02502554 0.008707975
19790831 -0.04030848 0.07783473 0.0517173
19790928 -0.1296148 -0.03654055 0
19791031 -0.1435986 -0.02822665 -0.07107289
19791130 0.6142115 -0.003372681 0.04174061
19791231 -0.04087484 0.003372307 0.01662799
19800131 0.1589535 -0.01732115 0.05602583
19800229 -0.5186668 -0.01220619 -0.00438962
19800331 0.1101686 -0.05037056 -0.107357
19800430 1.504021 0.06569129 0.04031627
19800530 0.2853563 0.08540768 0.04551911
19800630 -0.3176877 -0.05442451 0.02661175
19800731 -0.390972 0.09930854 0.06301142
19800829 -0.776133 -0.02515885 0.005818042
19800930 -0.2563851 -0.0934012 0.0248565
19801031 -0.07930426 -0.04176932 0.01589402
19801128 0.04486124 0.03985993 0.09746876
19801231 0.6960736 -0.02154442 -0.03446102
19810130 -0.2758527 -0.013521 -0.0468212
19810227 0.3940536 0.06325551 0.01318963
19810331 0.5708885 -0.01233476 0.035399
19810430 -0.5555014 0.03072899 -0.02373547
19810529 0.1724922 -0.01757555 -0.001658374
19810630 0.7371133 0.07182566 -0.01046254
19810731 0.009047723 -0.02913328 -0.002212446
19810831 0.1390458 -0.04578219 -0.06411088
19810930 0.7417512 0.06115436 -0.05533514
19811030 0.2655726 0.07255691 0.04797841
19811130 0.6163855 0.02523783 0.03593648
19811231 -0.9782447 0.001556788 -0.03053653
19820129 -0.08503141 0.07112646 -0.01769972
19820226 -0.2482936 -0.02373957 -0.06245855
19820331 -0.03789479 -0.006024109 -0.01021904
19820430 0.2038532 0.04634145 0.03923417
19820528 0.04522159 -0.02064975 -0.03994946
19820630 -0.4472729 -0.01048679 -0.02049867
19820730 0.3783019 0.03753949 -0.02325942
19820831 0.3268668 0.1110708 0.1097303
19820930 -0.2326803 0.02977528 0.00758516
19821029 -0.3493963 0.08949512 0.1046879
19821130 -0.1624828 0.1134546 0.03548586
19821231 -0.135681 -0.005271872 0.01504427
19830131 -0.2936779 -0.03923783 0.0325969
19830228 0.004821532 0.01543625 0.01881685
19830331 -0.238165 0.06152492 0.03255915
19830429 0.0406979 -0.0004120849 0.0722481
19830531 -0.2484004 -0.1097591 -0.01242284
19830630 0.08080247 0.02293693 0.03461783
19830729 -0.0794897 -0.05165125 -0.03357126
19830831 0.2852021 0.03325681 0.01125542
19830930 0.2566415 0.03895145 0.01010675
19831031 0.1099842 0.008502749 -0.0152903
19831130 0.05102984 0.06538316 0.01727591
19831230 0.0196128 -0.0409095 -0.008873251
19840131 0.2501465 -0.1070709 -0.00925873
19840229 -0.08877491 -0.06917003 -0.03963416
19840330 0.03990382 0.0235925 0.01340771
19840430 0.2045398 -0.005715301 0.005451116
19840531 -0.02700788 0.03881486 -0.06119053
19840629 0.1169188 0.06152022 0.01731817
19840731 0.1441273 0.01703802 -0.01658782
19840831 0.07431131 0.06216038 0.10105
19840928 0.08770663 -0.002234495 -0.003486069
19841031 0.3547226 0.04847011 -6.00018e-05
19841130 0.1226869 -0.004319315 -0.01522735
19841231 -0.0616229 -0.01307207 0.02212737
19850131 -0.2259315 -0.00175554 0.07146914
19850228 -0.3562872 0.01104973 0.008647502
19850329 0.0321888 -0.02447304 -0.002929286
19850430 0.04667501 -0.05034532 -0.004604585
19850531 0.1330601 0.03302173 0.05264084
19850628 -0.2537507 0.04313995 0.01206097
19850731 -0.1830472 0.02891102 -0.00485979
19850830 -0.08601891 0.004357492 -0.01206752
19850930 -0.1106658 -0.01975893 -0.03534121
19851031 -0.01803873 0.1272474 0.04163031
19851129 0.01642275 0.05748747 0.06303301
19851231 0.07567486 0.03836073 0.04407526
19860131 -0.07937089 -0.04734007 0.002364203
19860228 -0.04299153 0.04634718 0.06904927
19860331 0.2116414 0.06487815 0.05144758
19860430 -0.02777673 0.007442238 -0.01424904
19860530 -0.09716567 0.05781975 0.04900824
19860630 0.1100276 0.0284825 0.01401138
19860731 0.02123471 -0.02623823 -0.06047532
19860829 0.04024802 0.03336321 0.06877298
19860930 -0.1597183 -0.1662022 -0.08931111
19861031 0.03938138 0.1106232 0.05328386
19861128 -0.1878246 0.03601076 0.02124962
19861231 -0.08588121 -0.01784325 -0.02869581
19870130 0.05358052 0.1493222 0.1237801
19870227 -0.02273234 -0.01430686 0.03625864
19870331 -0.004432815 0.05875841 0.02604779
19870430 -0.02399812 -0.07414936 -0.01151606
19870529 -0.006472561 0.07663321 0.006015868
19870630 0.1085421 0.06862827 0.04680248
19870731 0.03553445 -0.04380247 0.0470973
19870831 0.03096115 0.09957199 0.03436181
19870930 -0.009853494 -0.01839414 -0.02446279
19871030 0.3477584 -0.1273267 -0.2454275
19871130 -0.06545129 -0.08110594 -0.08921271
19871231 0.09203448 0.04798508 0.07032891
19880129 -0.04341366 0.002340259 0.03963601
19880229 0.09907942 -0.007391248 0.0409663
19880331 -0.1145921 -0.07868396 -0.03391155
19880429 -0.03024475 -0.0006422062 0.009380862
19880531 0.003456533 -0.009771587 0.003170967
19880630 0.009619839 0.01462257 0.04234659
19880729 -0.1524649 -0.02184998 -0.005425692
19880831 0.06389572 -0.00667825 -0.03936472
19880930 0.143424 0.06955125 0.0389601
19881031 0.07233685 0.04072247 0.02563266
19881130 -0.1504943 -0.009118447 -0.01907171
19881230 0.1195629 0.06071403 0.01458118
19890131 0.1249401 0.06588418 0.06870016
19890228 -0.06552834 -0.03873251 -0.02937114
19890331 0.2150048 0.04279509 0.02059251
19890428 0.2054154 0.04155644 0.04887587
19890531 0.1457952 0.07186474 0.03453475
19890630 0.1140374 0.05329903 -0.00795657
19890731 0.08647343 0.1033514 0.08468116
19890831 -0.1616492 0.0736593 0.01539784
19890929 -0.07077527 -0.06843731 -0.006565506
19891031 0.1511905 0.0802353 -0.02549731
19891130 -0.0256331 0.002899792 0.01640569
19891229 -0.1235805 0.08152653 0.02119088
19900131 -0.01391883 -0.08617028 -0.07129946
19900228 -0.07676013 -0.00195491 0.008502749
19900330 -0.1237093 0.05889607 0.02396552
19900430 0.03212607 0.04791073 -0.02725507
19900531 0.1330218 0.1569285 0.0880008
19900629 -0.004621304 0.05303163 -0.008925716
19900731 0.04676471 0.0008606296 -0.005236688
19900831 -0.04870464 -0.1192251 -0.09906261
19900928 -0.02317742 -0.05505932 -0.05254039
19901031 0.06581434 0.08228297 -0.006720532
19901130 0.02821445 0.05264368 0.05820664
19901231 0.1730354 0.04425513 0.02452479
19910131 -0.0501582 -0.08269163 0.04067926
19910228 -0.0790814 0.02492381 0.06511429
19910328 -0.1179571 0.04658965 0.0219601
19910430 0.03891259 -0.008850046 0.0003459402
19910531 -0.1262945 0.01479304 0.03785151
19910628 -0.06649186 -0.09545749 -0.04907786
19910731 0.01164677 0.0488673 0.04388195
19910830 -0.0363921 0.03348893 0.01945845
19910930 -0.01904744 0.01633289 -0.01932962
19911031 -0.03035154 -0.008876278 0.01179022
19911129 0.01178968 -0.03189322 -0.04492205
19911231 0.04217065 0.1475153 0.1057896
19920131 -0.2097898 0.1048275 -0.02010067
19920228 -0.1095593 -0.02069467 0.009519545
19920331 -0.07656406 0.006131166 -0.02207384
19920430 0.03274296 0.01504525 0.02751108
19920529 -0.1156644 -0.004854765 0.0009635357
19920630 0.04230445 -0.1105104 -0.01751143
19920731 0.01544507 0.1012218 0.03861861
19920831 -0.07964019 -0.07696096 -0.02429064
19920930 0.01999017 0.05195942 0.00906479
19921030 -0.2203898 0.07367416 0.002103785
19921130 0.02818829 0.02567262 0.02981314
19921231 -0.01345443 -0.01158788 0.01005726
19930129 0.03062052 -0.06949264 0.007021293
19930226 -0.04216127 0.04423313 0.01042942
19930331 0.02210226 -0.04172344 0.01852436
19930430 -0.05365547 -0.009569643 -0.02574559
19930528 -0.1186253 0 0.02246281
19930630 0.1134166 0.05687548 0.0007547151
19930730 -0.04630033 -0.05819919 -0.005341239
19930831 0.08021117 -0.007721736 0.03385248
19930930 -0.03223065 -0.01825359 -0.01003821
19931029 -0.04049027 0.1385717 0.01920735
19931130 0.0005088868 0.04505271 -0.01299507
19931231 -0.0083814 0.004395326 0.01004043
19940131 0.07134131 0.04812137 0.03198401
19940228 -0.1817023 -0.0341909 -0.0305056
19940331 0.02049799 -0.07210306 -0.0468254
19940429 -0.03479035 0.06661044 0.01146502
19940531 0.05223106 -0.008829869 0.01234252
19940630 0.102381 -0.05468324 -0.027178
19940729 0.05492834 0.04979347 0.03098206
19940831 0.1005101 0.08794494 0.03695179
19940930 -0.07963595 -0.02074775 -0.02726637
19941031 0.1521602 0.05862451 0.02061994
19941130 -0.07547296 -0.005981856 -0.0403065
19941230 0.1405764 -0.008032172 0.01222398
19950131 0.1547159 0.05453364 0.02398797
19950228 0.119797 0.02089321 0.03543857
19950331 0.008555301 -0.003766083 0.02696223
19950428 -0.01233557 0.05826891 0.02757626
19950531 0.1577922 0.02822101 0.03566826
19950630 -0.08724835 0 0.02105576
19950731 0.02771031 -0.0368445 0.03128159
19950831 -0.00329926 0.007233773 -0.0003200512
19950929 -0.08609582 0.1042789 0.03931494
19951031 -0.04258035 0.05556999 -0.004991437
