  PERMNO        date            RET        vwretd        ewretd        sprtrn
   77702    20070814      -0.023732     -0.019065     -0.017482     -0.018157
   77702    20070815      -0.021363     -0.015667     -0.016756     -0.013908
   77702    20070816       0.001505      0.001856     -0.003934      0.003249
   77702    20070817       0.003382      0.024412      0.021044      0.024567
   77702    20070820       0.007865      0.001611      0.004000     -0.000270
   77702    20070821       0.016351      0.002159      0.003189      0.001086
   77702    20070822       0.006947      0.013032      0.013399      0.011713
   77702    20070823      -0.000726     -0.001610     -0.002708     -0.001072
   77702    20070824       0.002544      0.012340      0.009734      0.011535
   77702    20070827      -0.007974     -0.008306     -0.004717     -0.008504
   77702    20070828      -0.017903     -0.023438     -0.018346     -0.023473
   77702    20070829       0.022321      0.021819      0.016636      0.021922
   77702    20070830      -0.004731     -0.003800     -0.002015     -0.004181
   77702    20070831       0.007313      0.012294      0.012035      0.011217
   77702    20070904       0.006171      0.011107      0.008003      0.010468
   77702    20070905      -0.010101     -0.010075     -0.007605     -0.011501
   77702    20070906       0.005102      0.004423      0.003937      0.004252
   77702    20070907      -0.015228     -0.016223     -0.012456     -0.016908
   77702    20070910      -0.004418     -0.002902     -0.005696     -0.001273
   77702    20070911       0.010725      0.013511      0.009619      0.013632
   77702    20070912       0.000000      0.000217     -0.001838      0.000048
   77702    20070913       0.005488      0.007388      0.001737      0.008420
   77702    20070914       0.005822      0.001269      0.002020      0.000202
   77702    20070917      -0.012301     -0.005811     -0.007233     -0.005120
   77702    20070918       0.019414      0.029284      0.023126      0.029208
   77702    20070919      -0.001797      0.005780      0.008313      0.006086
   77702    20070920      -0.010439     -0.005202     -0.004042     -0.006723
   77702    20070921      -0.000728      0.004908      0.004343      0.004609
   77702    20070924      -0.011649     -0.004465     -0.004006     -0.005256
   77702    20070925      -0.002210     -0.000440     -0.002189     -0.000343
   77702    20070926       0.022148      0.005502      0.005468      0.005411
   77702    20070927      -0.026002      0.005353      0.006289      0.003907
   77702    20070928      -0.028550     -0.002693     -0.001759     -0.003023
   77702    20071001       0.004584      0.013721      0.012510      0.013290
   77702    20071002       0.010634      0.000502      0.004613     -0.000265
   77702    20071003      -0.002256     -0.005149     -0.003678     -0.004552
   77702    20071004      -0.000754      0.002715      0.003147      0.002111
   77702    20071005       0.012066      0.011820      0.012578      0.009560
   77702    20071008      -0.006706     -0.003015     -0.002330     -0.003217
   77702    20071009       0.004239      0.008052      0.006015      0.008096
   77702    20071010      -0.008329     -0.000234      0.001133     -0.001712
   77702    20071011      -0.008663     -0.005190     -0.007075     -0.005158
   77702    20071012       0.000760      0.005323      0.005038      0.004754
   77702    20071015      -0.008732     -0.008590     -0.008211     -0.008381
   77702    20071016      -0.001532     -0.007028     -0.006445     -0.006573
   77702    20071017       0.012658      0.002856      0.001282      0.001761
   77702    20071018       0.009848      0.000367      0.000275     -0.000753
   77702    20071019      -0.021005     -0.024579     -0.020862     -0.025616
   77702    20071022       0.003448      0.003271      0.003888      0.003798
   77702    20071023      -0.001909      0.010247      0.007452      0.008803
   77702    20071024      -0.002678     -0.003231     -0.004885     -0.002441
   77702    20071025       0.003836     -0.001014     -0.002178     -0.000976
   77702    20071026       0.000000      0.013814      0.010359      0.013788
   77702    20071029       0.002293      0.005378      0.002905      0.003713
   77702    20071030      -0.003050     -0.006902     -0.005777     -0.006463
   77702    20071031       0.020268      0.013180      0.009573      0.011992
   77702    20071101      -0.031859     -0.025894     -0.024110     -0.026423
   77702    20071102      -0.011614      0.002062     -0.000496      0.000802
   77702    20071105      -0.022327     -0.006619     -0.009896     -0.004955
   77702    20071106      -0.000401      0.012831      0.006438      0.012049
   77702    20071107      -0.033667     -0.026873     -0.022753     -0.029370
   77702    20071108      -0.029448     -0.000589     -0.001326     -0.000576
   77702    20071109      -0.035470     -0.015038     -0.010192     -0.014287
   77702    20071112       0.025255     -0.014027     -0.011189     -0.009988
   77702    20071113       0.036733      0.027903      0.018369      0.029093
   77702    20071114       0.010838     -0.005798     -0.004734     -0.007069
   77702    20071115      -0.006186     -0.014099     -0.011762     -0.013212
   77702    20071116      -0.038589      0.004584     -0.001511      0.005230
   77702    20071119      -0.012948     -0.018686     -0.020127     -0.017460
   77702    20071120       0.010057      0.003994     -0.003493      0.004486
   77702    20071121      -0.012554     -0.015272     -0.011390     -0.015927
   77702    20071123       0.011399      0.016334      0.015283      0.016891
   77702    20071126      -0.038578     -0.020446     -0.016998     -0.023239
   77702    20071127       0.019387      0.012180      0.003977      0.014930
   77702    20071128       0.015480      0.029412      0.024263      0.028560
   77702    20071129       0.003484     -0.000343     -0.000088      0.000477
   77702    20071130       0.015191      0.007108      0.007040      0.007770
   77702    20071203      -0.024797     -0.005528     -0.006714     -0.005887
   77702    20071204      -0.020605     -0.007245     -0.007345     -0.006540
   77702    20071205       0.013876      0.014448      0.010811      0.015190
   77702    20071206       0.008830      0.015723      0.016994      0.015037
   77702    20071207      -0.010066     -0.000222      0.002029     -0.001778
   77702    20071210       0.004863      0.007776      0.005163      0.007510
   77702    20071211      -0.036727     -0.025431     -0.020362     -0.025271
   77702    20071212      -0.000694      0.005691      0.002328      0.006050
   77702    20071213      -0.017367     -0.000990     -0.005211      0.001224
   77702    20071214      -0.011628     -0.013465     -0.013185     -0.013746
   77702    20071217      -0.051765     -0.016021     -0.017896     -0.015021
   77702    20071218       0.022333      0.006432      0.007592      0.006280
   77702    20071219      -0.027670     -0.000333      0.000468     -0.001361
   77702    20071220       0.024963      0.006286      0.005770      0.004900
   77702    20071221       0.025816      0.017092      0.015064      0.016670
   77702    20071224       0.007597      0.009140      0.009065      0.008077
   77702    20071226      -0.018850      0.001501      0.003201      0.000809
   77702    20071227      -0.017291     -0.013542     -0.014165     -0.014216
   77702    20071228      -0.016129      0.002043     -0.000388      0.001436
   77702    20071231       0.016890     -0.006524      0.001093     -0.006852
   77702    20080102      -0.056668     -0.011799     -0.006595     -0.014438
   77702    20080103      -0.031590     -0.000952     -0.004544      0.000000
   77702    20080104      -0.031551     -0.025649     -0.022417     -0.024552
   77702    20080107       0.014909      0.000197     -0.001854      0.003223
   77702    20080108       0.080522     -0.017024     -0.014033     -0.018352
   77702    20080109      -0.020141      0.010005     -0.000434      0.013624
   77702    20080110       0.043679      0.008402      0.009699      0.007948
   77702    20080111      -0.025603     -0.013902     -0.011295     -0.013595
   77702    20080114      -0.012127      0.010457      0.007797      0.010871
   77702    20080115      -0.036317     -0.024734     -0.018427     -0.024925
   77702    20080116       0.024416     -0.006669     -0.000088     -0.005612
   77702    20080117      -0.012953     -0.027715     -0.021596     -0.029093
   77702    20080118      -0.020472     -0.005572     -0.007317     -0.006045
   77702    20080122       0.000536     -0.009412     -0.010336     -0.011085
   77702    20080123       0.076058      0.019795      0.018216      0.021442
   77702    20080124       0.017919      0.012553      0.011073      0.010063
   77702    20080125      -0.038631     -0.012994     -0.001540     -0.015872
   77702    20080128       0.000000      0.017171      0.013508      0.017556
   77702    20080129       0.015768      0.006383      0.007683      0.006152
   77702    20080130      -0.037556     -0.005366     -0.002545     -0.004764
   77702    20080131      -0.016129      0.014955      0.015154      0.016772
   77702    20080201       0.016393      0.015986      0.015751      0.012238
   77702    20080204      -0.001561     -0.008982     -0.003026     -0.010463
   77702    20080205      -0.035435     -0.030842     -0.021564     -0.031995
   77702    20080206      -0.019449     -0.007992     -0.007234     -0.007624
   77702    20080207       0.020937      0.007728      0.005190      0.007886
   77702    20080208      -0.014571     -0.002062     -0.002751     -0.004204
   77702    20080211       0.014239      0.005802      0.002814      0.005889
   77702    20080212       0.010259      0.006273      0.004114      0.007266
   77702    20080213       0.007483      0.014371      0.013170      0.013604
   77702    20080214      -0.035544     -0.013210     -0.013637     -0.013421
   77702    20080215       0.006051     -0.000454     -0.004058      0.000838
   77702    20080219      -0.010388      0.000613      0.002554     -0.000896
   77702    20080220       0.008840      0.008862      0.005108      0.008341
   77702    20080221      -0.023549     -0.011838     -0.009669     -0.012867
   77702    20080222       0.023556      0.006788      0.000398      0.007881
   77702    20080225       0.013699      0.015084      0.013327      0.013813
   77702    20080226       0.030270      0.008226      0.009598      0.006918
   77702    20080227      -0.001049     -0.000766     -0.000004     -0.000919
   77702    20080228      -0.024685     -0.007706     -0.008707     -0.008942
   77702    20080229      -0.031879     -0.026141     -0.020156     -0.027090
   77702    20080303      -0.007120     -0.000421     -0.005173      0.000534
   77702    20080304       0.002801     -0.004786     -0.006713     -0.003448
   77702    20080305       0.013402      0.006936      0.003282      0.005238
   77702    20080306      -0.029763     -0.022016     -0.021415     -0.022014
   77702    20080307      -0.028409     -0.008743     -0.007650     -0.008410
   77702    20080310      -0.017544     -0.018204     -0.020818     -0.015463
   77702    20080311       0.055952      0.035774      0.027089      0.037130
   77702    20080312      -0.007328     -0.007009     -0.004186     -0.008996
   77702    20080313       0.001136      0.007298      0.007472      0.005127
   77702    20080314      -0.013613     -0.020001     -0.018156     -0.020783
   77702    20080317      -0.007476     -0.014935     -0.020958     -0.008959
   77702    20080318       0.056779      0.039579      0.028541      0.042410
   77702    20080319      -0.040570     -0.026080     -0.017065     -0.024287
   77702    20080320       0.001714      0.021198      0.014586      0.023944
   77702    20080324       0.020536      0.017597      0.021720      0.015321
   77702    20080325       0.005590      0.005734      0.010894      0.002304
   77702    20080326      -0.018344     -0.006414     -0.002748     -0.008766
   77702    20080327      -0.002265     -0.010132     -0.004629     -0.011460
   77702    20080328      -0.032350     -0.007968     -0.007239     -0.007950
   77702    20080331       0.026393      0.005303      0.005286      0.005687
   77702    20080401       0.057143      0.032130      0.020949      0.035896
   77702    20080402       0.005405      0.000373      0.003264     -0.001934
   77702    20080403      -0.013979      0.002678      0.001723      0.001302
   77702    20080404       0.008724      0.001960      0.002790      0.000796
   77702    20080407      -0.010270      0.001722      0.001831      0.001562
   77702    20080408      -0.018023     -0.003178     -0.002678     -0.005100
   77702    20080409      -0.028365     -0.008984     -0.011449     -0.008092
   77702    20080410       0.004579      0.005614      0.005070      0.004474
   77702    20080411      -0.016524     -0.019545     -0.015648     -0.020374
   77702    20080414      -0.016802     -0.002553     -0.004390     -0.003384
   77702    20080415       0.020625      0.005080      0.002152      0.004600
   77702    20080416       0.020785      0.024167      0.017917      0.022691
   77702    20080417      -0.001131     -0.001209     -0.001984      0.000623
   77702    20080418       0.035108      0.016558      0.012480      0.018139
   77702    20080421      -0.012582     -0.000549     -0.001554     -0.001554
   77702    20080422      -0.019390     -0.009270     -0.012820     -0.008810
   77702    20080423       0.008475      0.001117      0.002103      0.002900
   77702    20080424      -0.104202      0.005065      0.007875      0.006442
   77702    20080425      -0.008130      0.006924      0.005700      0.006495
   77702    20080428      -0.012610      0.000256      0.003713     -0.001052
   77702    20080429       0.034483     -0.005672     -0.004852     -0.003889
   77702    20080430       0.001852     -0.001534      0.001720     -0.003846
   77702    20080501       0.025878      0.014538      0.010972      0.017141
   77702    20080502      -0.011411      0.003253      0.000372      0.003236
   77702    20080505      -0.007290     -0.002632     -0.001149     -0.004534
   77702    20080506       0.001224      0.008433      0.006279      0.007652
   77702    20080507      -0.025061     -0.015897     -0.011596     -0.018114
   77702    20080508      -0.006270      0.004613      0.002007      0.003669
   77702    20080509       0.000631     -0.004573     -0.000632     -0.006725
   77702    20080512       0.011349      0.011000      0.010799      0.011021
   77702    20080513      -0.005611      0.000771      0.002637     -0.000385
   77702    20080514      -0.001881      0.003051      0.002006      0.004006
   77702    20080515       0.009422      0.011151      0.008123      0.010585
   77702    20080516       0.060834      0.002437      0.001134      0.001250
   77702    20080519       0.001314     -0.000199     -0.000465      0.000898
   77702    20080520      -0.013474     -0.005974     -0.003441     -0.009274
   77702    20080521      -0.009501     -0.015343     -0.009030     -0.016053
   77702    20080522       0.024580      0.002912      0.003284      0.002617
   77702    20080523      -0.008192     -0.011544     -0.007284     -0.013210
   77702    20080527       0.033038      0.004900      0.006128      0.006846
   77702    20080528       0.018275      0.005714      0.003516      0.003963
   77702    20080529       0.028043      0.004381      0.005273      0.005335
   77702    20080530      -0.007638      0.003259      0.004897      0.001516
   77702    20080602      -0.014294     -0.008999     -0.008327     -0.010504
   77702    20080603      -0.010039     -0.004852     -0.001827     -0.005788
   77702    20080604       0.020845     -0.000893      0.001370     -0.000327
   77702    20080605       0.022075      0.020245      0.014712      0.019496
   77702    20080606      -0.045896     -0.026691     -0.019843     -0.030889
   77702    20080609      -0.008489     -0.000578     -0.007748      0.000794
   77702    20080610       0.018265     -0.004987     -0.005347     -0.002438
   77702    20080611      -0.015135     -0.015188     -0.014960     -0.016894
   77702    20080612       0.014229      0.001445      0.001061      0.003280
   77702    20080613       0.019641      0.014697      0.012216      0.015046
   77702    20080616       0.009906      0.003271      0.005438      0.000081
   77702    20080617      -0.012534     -0.003933     -0.004316     -0.006771
   77702    20080618      -0.019316     -0.008274     -0.008334     -0.009712
   77702    20080619       0.012380      0.002409      0.002759      0.003752
   77702    20080620      -0.042246     -0.017481     -0.013799     -0.018543
   77702    20080623      -0.053976     -0.000847     -0.008986      0.000053
   77702    20080624       0.016564     -0.006222     -0.009818     -0.002815
   77702    20080625       0.032589      0.006262      0.007374      0.005843
   77702    20080626      -0.048510     -0.026190     -0.019210     -0.029365
