    date          smb          hml        mktrf          rf          umd
20140516     0.002600    -0.004000     0.003600     0.00000    -0.001800
20140519     0.006300     0.000100     0.005000     0.00000     0.007100
20140520    -0.008100     0.002200    -0.007800     0.00000     0.000900
20140521    -0.002500     0.000500     0.008100     0.00000     0.004100
20140522     0.006300    -0.002600     0.003600     0.00000     0.000800
20140523     0.006200    -0.002300     0.004900     0.00000     0.004200
20140527     0.006900    -0.001900     0.006900     0.00000     0.004800
20140528    -0.003300     0.002800    -0.001100     0.00000     0.001800
20140529    -0.001900    -0.001300     0.005400     0.00000     0.002600
20140530    -0.006700     0.002600     0.000600     0.00000    -0.000200
20140602    -0.006800     0.004000     0.000600     0.00000     0.002500
20140603    -0.002600     0.001700    -0.000500     0.00000     0.002000
20140604     0.002300    -0.000900     0.002800     0.00000     0.003400
20140605     0.012900    -0.001800     0.007700     0.00000    -0.001400
20140606     0.004800     0.000000     0.005400     0.00000    -0.002200
20140609     0.010000    -0.002800     0.002200     0.00000    -0.004200
20140610    -0.001900    -0.000200    -0.000300     0.00000    -0.001400
20140611    -0.001300    -0.002700    -0.003400     0.00000     0.002100
20140612     0.001000     0.001800    -0.006800     0.00000    -0.002700
20140613    -0.000700    -0.001800     0.003100     0.00000    -0.000900
20140616     0.004400    -0.006400     0.001300     0.00000     0.001000
20140617     0.005500     0.004600     0.003400     0.00000    -0.000500
20140618    -0.002800    -0.000800     0.007500     0.00000     0.000900
20140619    -0.001600    -0.000400     0.001200     0.00000     0.001200
20140620     0.001800     0.000400     0.001800     0.00000     0.003700
20140623    -0.002400     0.000800    -0.000100     0.00000    -0.001600
20140624    -0.003300    -0.002300    -0.007200     0.00000    -0.004300
20140625     0.003600     0.000800     0.005300     0.00000     0.003900
20140626    -0.000900     0.000600    -0.001100     0.00000     0.002200
20140627     0.004900    -0.002300     0.002600     0.00000    -0.001600
20140630     0.002600     0.001900     0.000700     0.00000     0.001200
20140701     0.004900    -0.003500     0.007400     0.00000     0.002300
20140702    -0.004500    -0.002100    -0.000300     0.00000    -0.000800
20140703     0.002200     0.000900     0.005900     0.00000     0.000300
20140707    -0.012700     0.003700    -0.006200     0.00000    -0.001500
20140708    -0.006500     0.007000    -0.008200     0.00000    -0.002400
