  PERMNO        date            ko         vwretd
   11308    19690630      -0.068933     -0.067387
   11308    19690731      -0.023381     -0.065172
   11308    19690829       0.075506      0.051490
   11308    19690930       0.064452     -0.022590
   11308    19691031       0.080775      0.055638
   11308    19691128      -0.063318     -0.032164
   11308    19691231       0.054487     -0.019681
   11308    19700130      -0.036474     -0.073254
   11308    19700227       0.045741      0.056706
   11308    19700331      -0.027330     -0.004729
   11308    19700430      -0.080997     -0.105318
   11308    19700529      -0.035593     -0.064346
   11308    19700630      -0.019543     -0.051075
   11308    19700731       0.048649      0.074169
   11308    19700831      -0.013746      0.050036
   11308    19700930       0.043345      0.047536
   11308    19701030       0.057047     -0.018208
   11308    19701130       0.068063      0.050448
   11308    19701231       0.011940      0.060723
   11308    19710129       0.026549      0.052030
   11308    19710226       0.001437      0.016913
   11308    19710331       0.086313      0.044778
   11308    19710430       0.019894      0.033332
   11308    19710528       0.046814     -0.036409
   11308    19710630       0.023801      0.003119
   11308    19710730      -0.026797     -0.040283
   11308    19710831       0.091364      0.042511
   11308    19710930      -0.000963     -0.005016
   11308    19711029       0.004608     -0.040682
   11308    19711130      -0.003257     -0.001262
   11308    19711231       0.127021      0.091257
   11308    19720131      -0.018443      0.028383
   11308    19720229       0.042797      0.031349
   11308    19720330       0.012292      0.008722
   11308    19720428       0.034722      0.005505
   11308    19720531       0.019175      0.016375
   11308    19720630       0.007789     -0.020896
   11308    19720731       0.063670     -0.004254
   11308    19720831      -0.005282      0.035966
   11308    19720929       0.001133     -0.007671
   11308    19721031       0.019504      0.008676
   11308    19721130      -0.005843      0.049764
   11308    19721229       0.042105      0.011243
   11308    19730131      -0.018519     -0.027455
   11308    19730228      -0.037736     -0.044368
   11308    19730330      -0.000535     -0.007851
   11308    19730430      -0.012522     -0.051759
   11308    19730531       0.019928     -0.024503
   11308    19730629       0.019893     -0.008647
   11308    19730731       0.006114      0.056954
   11308    19730831      -0.021701     -0.029648
   11308    19730928       0.041526      0.053937
   11308    19731031      -0.024786     -0.000427
   11308    19731130      -0.086941     -0.120703
   11308    19731231      -0.025048      0.011425
   11308    19740131      -0.071146      0.004408
   11308    19740228      -0.021277      0.002352
   11308    19740329      -0.037978     -0.023365
   11308    19740430      -0.041998     -0.045957
   11308    19740531       0.015403     -0.041982
   11308    19740628       0.012905     -0.022942
   11308    19740731      -0.211806     -0.070879
   11308    19740830      -0.145374     -0.087756
   11308    19740930      -0.288213     -0.109718
   11308    19741031       0.229268      0.165585
   11308    19741129      -0.134405     -0.041047
   11308    19741231      -0.018519     -0.027005
   11308    19750131       0.257075      0.141600
   11308    19750228       0.048780      0.058411
   11308    19750331       0.138819      0.030191
   11308    19750430       0.014241      0.046497
   11308    19750530       0.120125      0.055140
   11308    19750630       0.016156      0.051473
   11308    19750731      -0.120000     -0.060385
   11308    19750829      -0.034483     -0.023557
   11308    19750930      -0.073701     -0.038010
   11308    19751031       0.148410      0.055857
   11308    19751128       0.084000      0.031223
   11308    19751231      -0.060000     -0.010998
   11308    19760130       0.127660      0.126011
   11308    19760227      -0.088949      0.007314
   11308    19760331       0.047781      0.026799
   11308    19760430      -0.061166     -0.010389
   11308    19760528      -0.015152     -0.009369
   11308    19760630       0.043538      0.044487
   11308    19760730       0.031204     -0.006157
   11308    19760831      -0.004323     -0.001435
   11308    19760930       0.001881      0.024484
   11308    19761029      -0.042213     -0.020373
   11308    19761130      -0.029939      0.005364
   11308    19761231      -0.001580      0.061591
   11308    19770131      -0.053797     -0.036337
   11308    19770228       0.025084     -0.015760
   11308    19770331       0.013312     -0.009246
   11308    19770429      -0.037398      0.004952
   11308    19770531      -0.028716     -0.010785
   11308    19770630       0.047235      0.051367
   11308    19770729       0.050336     -0.012810
   11308    19770831       0.015974     -0.013343
   11308    19770930       0.006541      0.001574
